1	26
2	27
3	27
4	23
5	20
6	26
7	27
8	21
9	29
10	30
11	35
12	18
13	24
14	27
15	28
16	20
17	28
18	20
19	19
20	27
21	16
22	29
23	25
24	28
25	32
26	36
27	26
28	18
29	25
30	18
31	26
32	21
33	23
34	17
35	31
36	27
37	23
38	21
39	19
40	25
41	25
42	24
43	23
44	20
45	26
46	28
47	25
48	22
49	25
50	39
51	19
52	28
53	17
54	25
55	23
56	22
57	25
58	19
59	22
60	26
61	20
62	24
63	23
64	25
65	16
66	17
67	18
68	28
69	24
70	19
71	26
72	27
73	22
74	23
75	17
76	23
77	25
78	26
79	16
80	26
81	21
82	22
83	18
84	25
85	23
86	28
87	29
88	24
89	32
90	27
91	19
92	32
93	23
94	22
95	24
96	24
97	17
98	33
99	27
100	29
