1	14
2	15
3	16
4	18
5	15
6	17
7	19
8	18
9	18
10	17
11	19
12	15
13	16
14	19
15	18
16	19
17	19
18	14
19	16
20	17
21	20
22	21
23	15
24	16
25	15
26	15
27	17
28	17
29	18
30	15
31	18
32	18
33	16
34	20
35	16
36	16
37	18
38	15
39	19
40	12
41	19
42	17
43	16
44	16
45	16
46	13
47	17
48	16
49	15
50	19
51	17
52	21
53	16
54	16
55	13
56	14
57	15
58	17
59	17
60	14
61	19
62	16
63	18
64	15
65	21
66	24
67	19
68	22
69	16
70	18
71	18
72	16
73	17
74	21
75	16
76	19
77	15
78	19
79	16
80	15
81	18
82	18
83	15
84	22
85	19
86	18
87	18
88	12
89	15
90	18
91	17
92	16
93	19
94	18
95	19
96	20
97	18
98	17
99	20
100	18
