1	47
2	49
3	60
4	50
5	48
6	40
7	53
8	51
9	57
10	51
11	48
12	51
13	43
14	48
15	42
16	56
17	61
18	62
19	38
20	54
21	49
22	54
23	47
24	48
25	57
26	48
27	54
28	49
29	55
30	48
31	38
32	45
33	40
34	42
35	54
36	55
37	51
38	62
39	43
40	55
41	46
42	40
43	42
44	48
45	61
46	50
47	53
48	49
49	50
50	45
51	44
52	41
53	45
54	57
55	51
56	54
57	47
58	50
59	48
60	54
61	54
62	38
63	60
64	51
65	44
66	49
67	55
68	53
69	48
70	55
71	52
72	56
73	57
74	44
75	51
76	38
77	53
78	52
79	54
80	29
81	52
82	59
83	54
84	38
85	46
86	44
87	53
88	49
89	44
90	47
91	47
92	47
93	49
94	50
95	51
96	46
97	36
98	47
99	54
100	47
